Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.65,0.04,0.465%,439002880.00,United States,,29012,,
AMPE,Ampio Pharmaceuticals Inc.,$1.69,0.05,3.049%,330613226.00,United States,,1099166,Health Care,Major Pharmaceuticals
ASXC,Asensus Surgical Inc. Common Stock,$3.25,-0.19,-5.523%,755915394.00,United States,,26494304,Health Care,Medical/Dental Instruments
AXU,Alexco Resource Corp Common Shares (Canada),$2.51,0.06,2.449%,356247247.00,Canada,,844597,Basic Industries,Precious Metals
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.42,-0.15,-0.507%,439496466.00,United States,,57022,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$10.18,0.13,1.294%,410516919.00,,2018,25443,Basic Industries,Agricultural Chemicals
BTG,B2Gold Corp Common shares (Canada),$4.31,0.09,2.133%,4533195626.00,Canada,,7223928,Basic Industries,Precious Metals
CCF,Chase Corporation Common Stock,$116.39,-0.33,-0.283%,1099465448.00,United States,,23907,Consumer Durables,Building Products
CET,Central Securities Corporation Common Stock,$37.91,0.358,0.953%,994773678.00,United States,,6683,,
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.47,0.02,0.149%,1046247699.00,United States,1987,555459,,
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$41.55,-0.09,-0.216%,20111077661.00,United States,2007,320685,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.24,-0.03,-0.226%,543417370.00,United States,,341616,,
CVM,Cel-Sci Corporation Common Stock,$15.21,-0.31,-1.997%,616450318.00,United States,,597941,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.09,0.00,0.00%,874047295.00,Canada,,24502186,Basic Industries,Precious Metals
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.44,0.08,0.957%,511347646.00,United States,2003,130898,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.30,0.09,0.681%,956977347.00,United States,2002,193648,,
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.64,0.00,0.00%,387660160.00,Israel,,23,Public Utilities,Electric Utilities: Central
EQX,Equinox Gold Corp. Common Shares,$7.99,0.17,2.174%,1940129339.00,Canada,,914525,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.50,0.05,0.402%,351651100.00,United States,2003,54666,,
EVI,EVI Industries Inc.  Common Stock,$28.77,1.83,6.793%,352472462.00,United States,,11279,Consumer Services,Other Consumer Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.63,-0.01,-0.079%,1466936837.00,United States,2003,425627,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.09,-0.05,-1.208%,1013075695.00,United States,1986,1859128,,
FSP,Franklin Street Properties Corp. Common Stock,$5.45,-0.13,-2.33%,584938685.00,United States,,452609,Consumer Services,Real Estate Investment Trusts
FTSI,FTS International Inc. Class A Common Stock,$24.74,0.13,0.528%,346111858.00,United States,2020,233476,Energy,Oilfield Services/Equipment
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.47,0.02,0.58%,541750391.00,United States,2005,354026,,
GLO,Clough Global Opportunities Fund Common Stock,$12.25,0.12,0.989%,394749047.00,United States,2006,108728,,
GSAT,Globalstar Inc. Common Stock,$1.35,0.05,3.846%,2265136291.00,United States,2006,8204984,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$2.95,0.01,0.34%,328375105.00,United States,,521826,Basic Industries,Precious Metals
IBIO,iBio Inc. Common Stock,$1.54,0.04,2.667%,332655294.00,United States,,3461964,Health Care,Major Pharmaceuticals
